Kontiopuiston lentopallokenttä|60.361504,25.09246
Laakson sairaalan fysioterapia|60.193058,24.917475
Viiskulma 3 ruotsinkielinen lähipalvelualue|60.16744,24.922728
Myllypuron sairaalan fysioterapia|60.224815,25.06405
Vallilan ta:n hammashoitola|60.196335,24.954586
Vartiokylän ala-aste, kouluterveydenhuolto|60.218895,25.099289
Herttoniemenrannan hammashoitola|60.19058,25.031828
Maunula 1 lähipalvelualue|60.23481,24.933018
Haaga 3 lähipalvelualue|60.23112,24.879463
Laakson keskusterveysasema|60.193058,24.917475
Pitäjänmäen ta:n hammashoitola|60.22622,24.852234
Santahaminan ala-aste, kouluterveydenhuolto|60.15286,25.045998
Haagan ta:n hammashoitola|60.222248,24.90414
Yliopistohammasklinikka|60.206013,24.897282
Ylä-Malmin peruskoulu yläkoulu, kouluterveydenhuolto|60.25494,25.000233
Kannelmäki 1 lähipalvelualue|60.238083,24.875755
Myllypuron ala-aste kortteli, kouluterveydenhuolto|60.22293,25.061161
Maunula 2 lähipalvelualue|60.23481,24.933018
Kivelän sairaalan fysioterapia|60.180756,24.918407
Käpylän peruskoulu yläaste, kouluterveydenhuolto|60.210236,24.946035
Oulunkylä 2 lähipalvelualue|60.227768,24.963799
Perustason apuvälinepalvelut , lääkinnällinen kuntoutus|60.193058,24.917475
Oulunkylän ta:n fysioterapia|60.227768,24.963799
Malmin sisätautien poliklinikka|60.16744,24.922728
Etelän psykiatrinen poliklinikka/Sturenkatu|60.193375,24.955582
Kallio 4 lähipalvelualue|60.1854,24.963701
Akuuttipsykoosiosastot|60.192482,24.927227
Lauttasaari 1 lähipalvelualue|60.16102,24.882816
Vallila 1 lähipalvelualue|60.196335,24.954586
Lauttasaaren terveysasema|60.16102,24.882816
Laakson vuodeosastot|60.193058,24.917475
Etelän psykiatrinen poliklinikka, Kivelä|60.180756,24.918407
Herttoniemen sisätautien poliklinikka|60.20734,25.03693
Vuosaaren peruskoulu ala-aste, kouluterveydenhuolto|60.20901,25.124237
Vuosaaren ta:n fysioterapia|60.205997,25.146605
Kivikko 1 lähipalvelualue|60.236973,25.066422
Myllypuron ala-aste, kouluterveydenhuolto|60.22064,25.06729
Töölö 1 lähipalvelualue|60.180756,24.918407
Maunulan terveysasema|60.23481,24.933018
HELTECH Helsingin tekniikanalan oppilaitos Käpylän koulutusyks, opiskeluth|60.21877,24.948511
Malminkartanon ta:n hammashoitola|60.247055,24.864183
Kannelmäen terveysasema|60.239243,24.87936
Pihlajamäen terveysasema|60.234272,25.009508
Puistolan hammashoitola|60.275463,25.034315
Herttoniemen diabeetikkojen silmäseula|60.20734,25.03693
Kallio 3 lähipalvelualue|60.1854,24.963701
Vuosaaren ta:n hammashoitola|60.205997,25.146605
Myllypuron yläaste, kouluterveydenhuolto|60.2205,25.070446
Kallion fysioterapia|60.18139,24.946894
Kivikon terveysasema|60.236973,25.066422
Jakomäen hammashoitola|60.26017,25.075228
Kallio 6 lähipalvelualue|60.185577,24.962152
Lauttasaari 2 lähipalvelualue|60.16102,24.882816
Malminkartanon terveysasema|60.247055,24.864183
Pihlajamäki 2 lähipalvelualue|60.24321,24.993643
Munkkiniemen ta:n hammashoitola|60.201553,24.876307
Herttoniemen terveysasema|60.20734,25.03693
Oulunkylän terveysasema|60.227768,24.963799
Töölö 2 lähipalvelualue|60.180756,24.918407
Viiskulman keskusterveysasema|60.160088,24.940788
Munkkiniemen terveysasema|60.201553,24.876307
Tehtaanpuiston yläaste, kouluterveydenhuolto|60.209152,25.14523
Lauttasaaren hammashoitola|60.16102,24.882816
Laajasalon peruskoulu, ala-aste, kouluterveydenhuolto|60.17725,25.055544
Degerö lågstadieskola, skolhälsovård|60.186913,25.043612
Pukinmäki 1 lähipalvelualue|60.24321,24.993643
Kontulan terveysasema|60.237743,25.084076
Ryhmäpsykoterapiakeskus|60.192482,24.927227
Laajasalon terveysasema|60.178337,25.055979
Kontulan ta:n fysioterapia|60.237743,25.084076
Paloheinän terveysasema|60.249058,24.941349
Malmin vuodeosastot|60.25381,24.998787
Lännen päiväsairaala|60.192482,24.927227
Vesalan yläaste, kouluterveydenhuolto|60.242027,25.079123
Neurologian poliklinikka|60.193058,24.917475
Mustakiven ala-asteen koulu, kouluterveydenhuolto|60.205494,25.139406
Heteniityn ala-aste, kouluterveydenhuolto|60.217896,25.134102
Pohjoisen päiväsairaala|60.250973,25.014065
Pitäjänmäki 1 lähipalvelualue|60.230103,24.884123
Kallio 1 lähipalvelualue|60.1854,24.963701
Kontula 2 lähipalvelualue|60.238354,25.083698
Tahvonlahden ala-aste, kouluterveydenhuolto|60.167904,25.036833
Kallion ta:n hammashoitola|60.18139,24.946894
Pitäjänmäen terveysasema|60.22622,24.852234
Etelän päiväsairaala|60.192482,24.927227
Paloheinän ta:n hammashoitola|60.249058,24.941349
Kivikko 2 lähipalvelualue|60.238354,25.083698
Haaga 5 lähipalvelualue|60.230103,24.884123
Auroran erityishoidon poliklinikka|60.192482,24.927227
Outamon koulu, erityiskoulu, kouluterveydenhuolto|undefined,undefined
Lännen psykiatrinen poliklinikka|60.193058,24.917475
Itäkeskuksen lukio, opiskeluterveydenhuolto|60.21299,25.072126
Vironniemi 2 lähipalvelualue|60.17219,24.95806
Töölön terveysasema|60.180756,24.918407
Psykiatrian päivystyspoliklinikka|60.192482,24.927227
Vesalan ala-aste, kouluterveydenhuolto|60.241806,25.077316
Poikkilaakson ala-asteen koulu, kouluterveydenhuolto|60.166313,25.082668
Kivelän hammashoitola|60.180756,24.918407
Vallilan terveysasema|60.196335,24.954586
Kallion terveysasema|60.18139,24.946894
Lasten foniatrinen ja puheterapian poliklinikka|60.17338,24.930513
Koskela 2 lähipalvelualue|60.216835,24.960455
Asunto-osasto|60.18164,24.949219
Savoy-teatteri|60.16664,24.947369
Vesalan yläasteen koulun opetuspaikka|60.242027,25.079123
Stoa|60.212097,25.07988
Päiväkoti Silkkiuikku|60.155365,24.876356
Geotekninen osasto|60.248272,25.009043
Geotekninen osasto, Kalliorakennus|60.248272,25.009043
Tehtaanpuiston yläasteen ja lukion opetuspaikka|60.209152,25.14523
Töölön kisahallin uusi kuntosali|60.183353,24.925898
Geotekninen osasto, Pohjarakennus|60.248272,25.009043
Vuotalo|60.208675,25.143911
Eläintarhan huvila|60.18088,24.940336
Ohjattu liikunta, Oulunkylän liikuntapuisto|60.23334,24.961464
Päiväkoti Inkivääri|60.207344,25.15707
Kiinteistöviraston viestintä|60.168762,24.95021
Kiinteistöjen kehittämisyksikkö|60.168762,24.95021
Puistolan liikuntahalli|60.267387,25.055931
Karttatoimisto|60.1905,24.948088
Käpylinna|60.21191,24.943092
Päiväkoti Topelius|60.18365,24.914976
Tilakeskus|60.1895,24.96988
Tilakeskus, Kiinteistöpalvelut|60.1895,24.96988
Myllypuron liikuntapuisto|60.218903,25.078056
Karttatoimisto, Johtotietojaos|60.1905,24.948088
Karttapalvelu|60.1905,24.948088
Käpylinnan kuntosali|60.21191,24.943092
Pohjoinen vauvaperhetyö|60.248272,25.009043
Tilakeskus, Asuntovuokraus|60.1895,24.96988
Kumpulan maauimala|60.208424,24.958014
Karttapalvelu, asiakaspalvelu|60.1905,24.948088
Kiinteistönmuodostustoimisto|60.1905,24.948088
Tilakeskus, Yrityspalvelut|60.1895,24.96988
Elinkeinotoimisto|60.168762,24.95021
Uimastadion|60.188885,24.929922
Etelä-Läntinen vauvaperhetyö|60.180485,24.950138
Kiinteistönmuodostustoimisto, Kiinteistörekisteri|60.1905,24.948088
Maanhankintatoimisto|60.168762,24.95021
Ruskeasuon liikuntapuiston voimailusali|60.19825,24.909998
Ehkäisevä mielenterveys- ja päihdetyö|60.185505,24.963215
Maanluovutustoimisto|60.168762,24.95021
Herttoniemen liikuntapuisto|60.209568,25.037329
Annantalo|60.16768,24.934668
Myllypuron Pallomylly|60.219868,25.079105
Päiväkoti Kaisla|60.1802,24.9616
Rakennusviraston asiakaspalvelu|60.16588,24.948792
Sähkötalo|60.16808,24.930794
Kanneltalo|60.238846,24.876204
Arbetarinstitutets undervisning|60.173885,24.929684
Vuosaaren ala-aste, kouluterveydenhuolto|60.211514,25.142174
Herttoniemen hammashoitola perushoito|60.20734,25.03693
Energiakeskus|60.16808,24.930794
Oulunkylän nuorisotalo Nuotta|60.227768,24.963799
Laakavuoren toimintakeskus (Kansallinen Lastenliitto - Helsingin piirijärjestö ry ja Helsingin NMKY)|60.239296,25.109514
Katajanokan liikuntahalli|60.166992,24.970602
Nuorten liikennekoulutusalue|60.25671,25.050657
Munkkiniemen nuorisotalo|60.19687,24.875586
Töölön kisahalli|60.183353,24.925898
Roihuvuoren nuorisotalo|60.202915,25.06179
Työllistämiskokonaisuus|60.170364,24.922108
Laajasalon toimipiste, Pari- ja perheterapia|60.178337,25.055979
Lasten liikennekaupunki|60.19168,24.92404
Pasilan nuorisotalo|60.196842,24.92648
Meriharjun luontotalo |60.197243,25.179123
Maunulan toimipiste, Pari- ja perheterapia|60.234787,24.936104
Yökoripallo Kumppanuushanke (HNMKY)|60.212097,25.07988
Ruoholahden nuorisotalo Koralli|60.159912,24.914497
Monistamo ja taittopaja|60.18738,24.9688
Henkilöstöpolitiikka|60.183235,24.94208
Kivikon nuorisotalo (Kalliolan Nuoret ry)|60.236973,25.066422
Vesalan nuorisotalo|60.24204,25.103403
Pakilan nuorisotalo|60.24073,24.940533
Asemanseutu|60.170364,24.922108
Pukinmäen mopohalli|60.24321,24.993643
Töölön nuorisotalo|60.176544,24.91977
Fallkullan kotieläintila|60.25603,25.036335
Narrin näyttämö|60.18738,24.9688
Pitäjänmäen moottorihalli|60.22682,24.860332
Pääkaupunkiseudun Nuorten Ääni -toimitus|60.18738,24.9688
Malminkartanon nuorisotalo|60.244,24.85923
Suutarilan nuorisotalo|60.275627,24.998425
Pihlajamäen nuorisotalo|60.23505,25.011223
Lauttasaaren nuorisotalo|60.158604,24.883167
Pitäjänmäen nuorisotalo|60.22682,24.860332
Nuorisoasiainkeskus, hallinto|60.170364,24.922108
Ungdomsgården Rastis|60.208645,25.139114
Kettutien nuorisotalo|60.20734,25.03693
Kontulan toimintakeskus Luuppi|60.238354,25.083698
Harjun nuorisotalo|60.18976,24.957947
Talin jalkapallohalli|60.215122,24.866642
Kompassi, nuorten tieto- ja neuvontapaövelu|60.170364,24.922108
Kampin liikuntakeskus|60.16822,24.92685
Kannelmäen nuorisotalo|60.238846,24.876204
Myllypuron nuorisotalo|60.2235,25.075596
Maunulan liikuntahalli|60.228878,24.932867
Alppilan yläasteen ja lukion opetuspaikka|60.19222,24.939
Kallion kirjasto|60.183723,24.953558
Päätösvalmisteluyksikkö|60.16816,24.952932
Ostolaskut|60.186234,24.966782
Malmin nuorisotalo|60.252842,25.00845
Kannelmäen kirjasto|60.238846,24.876204
Granön leirialue|60.228962,25.23134
Oulunkylän kirjasto|60.228073,24.962608
Elinkeinokehitys|60.16815,24.950733
Laajasalon kirjasto|60.178677,25.055836
Maunulan nuorisotalo|60.22817,24.929369
Kohtaamispaikka@lasipalatsi|60.170433,24.936752
Itäkeskuksen kirjasto|60.212097,25.07988
Virka Info|60.16816,24.952932
Hallinto-osasto|60.16816,24.952932
Malminkartanon kirjasto|60.245884,24.859583
Monikielinen kirjasto|60.20084,24.935863
AV- ja leirivälineet (AV-lainaamo)|60.18738,24.9688
Ruoholahden lastenkirjasto|60.16234,24.919353
Pukinmäen kirjasto|60.249958,24.990788
Kehittämisosasto|60.16888,24.952822
Malmin kirjasto|60.250515,25.014967
Maksukattoasiat|60.186234,24.966782
Kontulan skeittihalli|60.235626,25.08768
Turvallisuus- ja valmiusyksikkö|60.168125,24.951672
Torpparinmäen nuorisotalo|60.263664,24.9505
Töölön kirjasto|60.183304,24.917463
Vallilan kirjasto|60.192326,24.962576
Nuorten Media |60.18738,24.9688
Tietotekniikkaosasto|60.168125,24.951672
Etelä-Haagan kirjasto|60.21417,24.891592
Matkailuneuvonta|60.16815,24.950733
Roihuvuoren vanhustenkeskuksen kirjasto|60.203407,25.063341
Tapulikaupungin nuorisotalo|60.274567,25.033825
Rikhardinkadun kirjasto|60.16633,24.946774
Virka Galleria|60.16816,24.952932
Pohjois-Haagan kirjasto|60.23217,24.887129
Kallahden nuorisotalo|60.205605,25.139841
Munkkiniemen kirjasto|60.196857,24.875586
Kirjasto 10|60.171593,24.938461
Helsingin kaupungin kirjaamo|60.16816,24.952932
Myllypuron mediakirjasto|60.223507,25.075613
Viestintä|60.16816,24.952932
Arabianrannan kirjasto|60.208977,24.976768
Tapulikaupungin kirjasto|60.274567,25.033825
Viestintäpalvelut|60.16816,24.952932
Maunulan kirjasto|60.233826,24.933615
Oikeuspalvelut|60.16885,24.951561
Viestintä, julkaisuyksikkö|60.16816,24.952932
Henkilöstökassa|60.18139,24.946894
Yleisöpalvelukassa, Kallion virastotalo|60.18139,24.946894
Puistolan kirjasto|60.27095,25.057022
Laakson sairaalan potilaskirjasto|60.193058,24.917475
Jakomäen kirjasto|60.26031,25.07606
Psykiatriakeskuksen kirjasto|60.179066,24.918716
Kirjasto- ja tietopalvelu, tilastot|60.18052,24.949022
Pitäjänmäen kirjasto|60.22681,24.860332
Laskutus|60.186234,24.966782
Herttoniemen kirjasto|60.206284,25.036171
Tapanilan kirjasto|60.26571,25.018677
Pasilan kirjasto|60.20084,24.935863
Laskutus-palvelualue, muut asiakasmaksut|60.186234,24.966782
Laskutus, suoritukset ja täsmäykset|60.186234,24.966782
Käpylän kirjasto|60.21072,24.947153
Myllypuron vanhustenkeskuksen kirjasto|60.224815,25.064068
Hallintokeskus|60.16816,24.952932
Suutarilan kirjasto|60.27564,24.998425
Elinkeinopalvelu, tapahtumayksikkö|60.16815,24.950733
Taloushallintopalvelu|60.186234,24.966782
Paloheinän kirjasto|60.24907,24.941349
Laskutus, sosiaaliviraston ja terveyskeskuksen asiakasmaksut|60.186234,24.966782
Hallintokeskus, Virastopalveluyksikkö|60.16816,24.952932
Viikin kirjasto|60.227367,25.012665
Lauttasaaren kirjasto|60.15861,24.883385
Kaupunginarkiston asiakaspalvelu|60.18139,24.946894
Suomenlinnan kirjasto|60.14679,24.983906
Kirjasto- ja tietopalvelu, tutkimukset|60.18052,24.949022
Palkanlaskenta|60.186234,24.966782
Vuosaaren kirjasto|60.208675,25.143929
Kustaankartanon vanhustenkeskuksen kirjasto|60.22858,24.947287
Kouluravintola, Aleksis Kiven pk|60.188057,24.951694
Kouluravintola, Kallahden pk, monitoimitalo|60.201374,25.132303
Kouluravintola, Kallion aa|60.18339,24.950747
Sederholmin talo|60.16862,24.954247
Aluerakentamisprojekti|60.16888,24.952822
Kouluravintola, Auringonpilkun aa, sk|60.2024,25.148138
Kouluravintola, Karavaanin aa, monitoimitalo|60.20901,25.124237
Elinkeinopalvelu|60.16815,24.950733
Kouluravintola, Aurinkolahden pk|60.203354,25.14524
Kouluravintola, Keinutien aa|60.234955,25.06925
Asemakaavaosasto, Itäinen toimisto|60.16808,24.933496
Kouluravintola, Cygnaeus ls|60.162216,24.942333
Kouluravintola, Laajasalon ya|60.179035,25.056107
Museokauppa|60.168377,24.95194
Ala-Malmin peruskoulun opetuspaikka|60.244656,25.014585
Ryhmäperhepäiväkoti Ankkuri|60.162525,24.920649
Kouluravintola, Degerö ls|60.186913,25.043612
Kouluravintola, Laakavuoren aa, monitoimitalo|60.239296,25.109514
Kouluravintola, Drumsö ls|60.15734,24.877213
Kouluravintola, Lauttasaaren aa|60.161213,24.869509
Kaupunkisuunnitteluviraston viestintä|60.16808,24.933496
Museon info|60.168377,24.95194
Pitäjänmäen peruskoulun opetuspaikka|60.226433,24.859324
Hoitoalan ruokapalvelut, Herttoniemen sairaala|60.20734,25.03693
Kouluravintola, Eläintarhan aa|60.19445,24.934958
Asemakaavaosasto, Kantakaupungin itäranta -projekti|60.169815,24.935259
Asemakaavaosasto, Kruunuvuorenranta-projekti|60.169815,24.935259
Hoitoalan ruokapalvelut, Koskelan vanhustenkeskus|60.216835,24.960455
Kouluravintola, Etu-töölön ya|60.171154,24.922321
Hakasalmen huvila|60.17466,24.934095
Hoitoalan ruokapalvelut, Myllypuron vanhustenkeskus|60.224815,25.06405
Helsingin taidemuseo, Kluuvin galleria|60.168465,24.950554
Asemakaavaosasto, lähiöprojekti|60.16827,24.934145
Asemakaavaosasto, Kuninkaantammi-projekti|60.16808,24.933496
Hoitoalan ruokapalvelut, Kontulan vanhustenkeskus|60.243156,25.087032
Kouluravintola, Helsingin kuvataidelukio|60.185745,24.958439
Kouluravintola, Heltech / Av-viestintä|60.210163,24.978048
Asemakaavaosasto, Läntinen toimisto|60.16808,24.933496
Asemakaavaosasto, Länsisatama-projekti|60.16808,24.933496
Hoitoalan ruokapalvelut, Riistavuoren vanhustenkeskus|60.217216,24.887
Kouluravintola, Heteniityn aa|60.217896,25.134102
Hoitoalan ruokapalvelut, Roihuvuoren vanhustenkeskus|60.203407,25.063324
Info- ja näyttelytila Laituri|60.169815,24.935259
Hoitoalan ruokapalvelut, Kampin palvelukeskus|60.168373,24.928093
Pihlajamäen lähiöasema|60.23416,25.013191
Asemakaavaosasto, kantakaupunkitoimisto|60.16808,24.933496
Kaavoituksen asiakaspalvelu|60.169815,24.935259
Hoitoalan ruokapalvelut, Munkkiniemen palvelukeskus|60.201553,24.876307
Kouluravintola, Itäkeskuksen lukio|60.21299,25.072126
Työväenasuntomuseo|60.189556,24.945782
Läntinen omaishoidon toimintakeskus|60.22819,24.885447
Kouluravintola, Kaisaniemen aa|60.173294,24.947826
Roihuvuoren kirjasto|60.19485,25.05159
Hoitoalan ruokapalvelut, Itäkeskuksen palvelutalo|60.208008,25.087517
Kaavoituspalvelut|60.16808,24.933496
Asemakaavaosasto, Vuosaari-projekti|60.16808,24.933496
Kouluravintola, Myllypuron aa|60.22064,25.06729
Kouluravintola, Vesalan ya|60.242027,25.079123
Henkilöstöravintola, Terveyden ja hyvinvoinnin laitos (THL)|60.201447,24.898918
Ruiskumestarin talo|60.175396,24.956146
Kouluravintola, Myllypuron ya ja lukio|60.2205,25.070446
Kouluravintola, Vuosaaren aa|60.211514,25.142174
Henkilöstöravintola, Keskuspelastusasema|60.184727,24.950619
Kouluravintola, Poikkilaakson aa|60.166313,25.082668
Henkilöstöravintola, Kuntatalo|60.18396,24.940817
Yleissuunnitteluosasto, Östersundom-projekti|60.16827,24.934145
Kouluravintola, Porolahden aa|60.19485,25.051573
Kouluravintola, Vuosaaren lukio, Tehtaanpuiston ya|60.209152,25.14523
Kouluravintola, Vuosaaren pk|60.21502,25.139051
Asemakaavaosasto, Koivusaari-projekti|60.16808,24.933496
Kouluravintola, Porolahden ya|60.19521,25.057161
Kouluravintola, Åshöjdens ls, hs|60.189026,24.945278
Päihdepsykiatrian polikliininen toiminta|60.16822,24.92685
Henkilöstöravintola, Hanasaari|60.18433,24.96974
Helsingin taidemuseo Tennispalatsi|60.169685,24.930412
Malmitalo|60.250507,25.014967
Henkilöstöravintola, Sähkötalo|60.16808,24.930794
Roihuvuoren monipuolinen palvelukeskus/Palvelukeskus|60.203407,25.063324
Liikennesuunnitteluosasto|60.16808,24.933496
Kouluravintola, Ressun lukio|60.167095,24.938452
Henkilöstöravintola, Viikinmäki|60.226788,24.996496
Henkilöstöravintola, Duetto|60.22033,24.943909
Kuva-arkisto|60.168377,24.95194
Kouluravintola, Ressun pk|60.1671,24.925034
Henkilöstöravintola, Piste Henkilöstökeskus|60.183235,24.94208
Opiskelijaravintola, Metropolia Leiritie|60.258255,24.845335
Asemakaavaosasto, Keskusta-projekti|60.16808,24.933496
Kouluravintola, Ruoholahden aa|60.162346,24.919334
Henkilöstöravintola, HKL Metrovarikko|60.20941,25.065987
Opiskelijaravintola, Vanha maantie |60.22169,24.805561
Asemakaavaosasto, Pasila-projekti|60.16808,24.933496
Kouluravintola, Santahaminan aa|60.152733,25.045889
Henkilöstöravintola, HKL Ruha|60.2068,24.902418
Kiinteistöpalvelut|60.22033,24.943909
Kouluravintola, Meri-Rastilan aa, monitoimitalo|60.20277,25.119596
Henkilöstöravintola, HKL Töölö|60.18351,24.921175
Kouluravintola, Minerva skolan|60.17577,24.925644
Kouluravintola, Svenska normallyceum högstadie|60.163277,24.950687
Kouluravintola, Tahvonlahden aa|60.167904,25.036833
Henkilöstöravintola, HKL Vallila|60.195072,24.962158
Päiväkoti Sakarinmäki|60.26198,25.211721
Päiväkoti Maria, ryhmä Pakari|60.1635,24.928823
Kouluravintola, Tehtaankadun aa|60.158474,24.94387
Henkilöstöravintola, HKR Pääkonttori|60.16588,24.948162
Yrityspalveluyksikkö|60.190792,24.973879
Päiväkoti Meritähti, ryhmä Rantakivi|60.215797,25.131117
Kouluravintola, Vartiokylän aa|60.218895,25.099289
Henkilöstöravintola, Kaupungintalo|60.168404,24.952734
Ratikkamuseo|60.184147,24.920218
Kouluravintola, Mustakiven aa|60.205494,25.139406
Kouluravintola, Vesalan aa|60.241806,25.077316
Henkilöstöravintola, Kallion virastotalo|60.18139,24.946894
Kaupunginmuseo|60.168377,24.95194
Kouluravintola, Mustakiven aa, sk|60.201496,25.136559
Seikkailutalo|60.20044,25.133417
Pelitalo|60.18738,24.9688
Päiväkoti Kappeli|60.25024,25.174448
Päiväkoti Pehtoori, ryhmä Jyvä|60.232803,25.030191
Päiväkoti Aalto|60.212326,24.981852
Päiväkoti Maininki|60.16287,24.910202
Esplanadinpuiston yleisövessa|60.167225,24.944954
Helsingin Satama|60.161495,24.957731
Hakaniementorin yleisövessa|60.17851,24.952646
Hietaniemenkadun palvelukeskus|60.17022,24.923964
Roihuvuoren palvelutalo|60.197227,25.05547
Olympiaterminaali|60.16075,24.958902
Helsingin vastaanottokeskus, Kaarlenkadun toimipiste|60.185284,24.952042
Liisanpuistikon yleisövessa|60.173702,24.961157
Keskuspelastusasema|60.184605,24.950745
Makasiiniterminaali|60.163944,24.955063
Kaisaniemenrannan yleisövessa|60.175663,24.949516
Katajanokan terminaali|60.163994,24.968515
Helsingin vastaanottokeskus, Punavuoren toimipiste / vastaanottokeskus|60.163586,24.939611
Kauppatorin yleisövessa|60.16668,24.953222
Länsiterminaali|60.154602,24.920921
Hesperian esplanadin yleisövessa|60.176933,24.922056
Työhön kuntoutus/Ohjauspalvelut|60.185505,24.963215
SEURE Henkilöstöpalvelut Oy|60.167004,24.933949
Nuorten toimintakeskus Happi|60.18738,24.9688
Kaivopuiston yleisövessa|60.154808,24.954931
Östersundomin nuorisotila|60.26132,25.207996
Finnair Stadium|60.187767,24.922642
Arabian nuorisotalo|60.204857,24.975239
Lapinlahden puistikon yleisövessa|60.166355,24.930979
Stara|60.206936,24.917494
Hietalahdentorin yleisövessa|60.16272,24.928968
